watch_id,user_id,show_id,watch_date,watch_duration,rating_given
143,278,232,2024-01-09,107,5
144,278,154,2024-01-09,160,2
145,278,287,2024-01-09,95,4
146,278,20,2024-01-09,137,3
147,502,171,2024-06-09,134,3
148,64,137,2025-01-31,120,3
149,90,28,2025-06-17,53,3
150,135,317,2024-05-21,23,3
151,149,247,2025-08-01,93,3
152,150,226,2024-11-22,55,5
153,281,294,2024-04-19,142,4
154,281,162,2024-04-19,80,5
155,281,227,2024-04-19,161,5
156,281,191,2024-04-19,90,3
157,34,291,2024-01-16,19,2
158,450,161,2025-05-16,75,4
159,390,245,2025-02-07,30,3
160,406,41,2024-02-10,120,4
161,293,194,2025-03-08,44,4
162,463,303,2024-04-25,111,4
163,463,278,2024-04-25,95,5
164,463,160,2024-04-25,161,5
165,463,23,2024-04-25,127,5
166,88,14,2025-01-28,112,4
167,154,136,2024-05-28,127,3
168,186,3,2024-07-26,133,3
169,186,349,2024-07-26,154,4
170,420,294,2024-01-07,96,2
171,152,258,2024-02-07,112,5
172,152,196,2024-02-07,106,4
173,152,129,2024-02-07,38,5
174,96,13,2024-11-26,140,2
175,483,173,2024-10-08,77,2
176,483,178,2024-10-08,45,5
177,483,246,2024-10-09,147,5
178,483,175,2024-10-09,86,4
179,509,154,2025-10-09,94,1
180,25,233,2024-04-30,114,4
181,218,87,2025-12-07,111,4
182,218,152,2025-12-07,142,4
183,30,291,2024-07-17,66,1
184,140,160,2025-10-04,41,5
185,58,148,2024-11-02,115,2
186,153,112,2024-02-01,93,4
187,316,220,2024-11-18,127,5
188,310,49,2024-11-05,81,4
189,26,146,2025-05-27,34,4
190,147,209,2024-04-10,136,2
191,319,17,2025-12-04,154,5
192,24,144,2024-11-15,126,5
193,280,247,2024-10-07,139,2
194,327,57,2025-12-22,113,4
195,52,27,2025-11-22,160,4
196,52,274,2025-11-22,112,5
197,52,303,2025-11-22,63,5
198,135,306,2025-04-24,45,3
199,135,346,2025-04-24,116,4
200,135,291,2025-04-24,35,4
201,135,264,2025-04-24,129,5
202,290,282,2025-09-10,35,4
203,73,170,2025-06-29,90,5
204,394,258,2025-12-11,158,2
205,394,15,2025-12-12,51,5
206,394,269,2025-12-12,82,5
207,394,205,2025-12-12,157,5
208,389,37,2025-10-22,151,5
209,151,139,2025-04-08,110,3
210,312,138,2024-12-18,69,3
211,379,235,2024-02-24,16,2
212,404,173,2025-12-29,87,3
213,394,326,2025-03-03,79,3
214,148,292,2025-05-13,159,4
215,436,239,2025-04-10,124,3
216,511,240,2025-05-28,51,3
217,378,338,2025-12-08,64,3
218,378,140,2025-12-08,101,4
219,378,55,2025-12-08,144,3
220,55,277,2025-07-01,123,4
221,302,80,2025-12-12,144,1
222,302,186,2025-12-12,73,3
223,302,290,2025-12-12,32,2
224,288,98,2024-09-20,89,5
225,379,140,2024-09-24,80,5
226,158,341,2025-02-26,143,5
227,354,310,2024-04-28,138,3
228,354,205,2024-04-28,137,5
229,354,308,2024-04-28,137,5
230,43,206,2025-10-14,82,3
231,43,307,2025-10-14,100,5
232,43,169,2025-10-15,158,5
233,43,8,2025-10-15,78,1
234,101,150,2025-12-02,73,5
235,59,109,2025-11-03,23,3
236,190,187,2025-12-13,128,5
237,284,43,2025-12-09,39,4
238,62,128,2024-09-28,152,4
239,148,139,2025-03-17,74,2
240,257,24,2024-01-20,119,3
241,338,213,2025-08-11,163,5
242,72,280,2024-01-04,115,2
243,311,95,2025-10-09,63,5
244,208,236,2024-02-10,158,4
245,87,20,2025-03-24,30,3
246,65,314,2025-10-20,77,4
247,44,271,2024-08-04,29,4
248,38,36,2025-05-15,86,1
249,52,278,2024-04-09,21,1
250,226,321,2025-03-12,85,5
251,226,48,2025-03-12,65,3
252,47,56,2024-05-03,91,4
253,42,319,2025-09-19,92,5
254,42,214,2025-09-19,130,5
255,42,206,2025-09-20,100,5
256,42,36,2025-09-20,133,4
257,91,169,2024-12-22,21,3
258,520,23,2025-10-03,130,4
259,164,102,2024-02-14,148,5
260,465,132,2024-02-23,100,3
261,465,230,2024-02-23,156,5
262,465,109,2024-02-23,100,5
263,465,253,2024-02-23,130,3
264,56,28,2025-09-16,150,4
265,277,71,2024-05-10,129,4
266,176,324,2024-08-13,25,3
267,236,312,2025-05-15,124,5
268,236,228,2025-05-15,145,5
269,236,318,2025-05-15,75,1
270,236,334,2025-05-15,120,4
271,101,194,2024-09-03,97,2
272,303,108,2024-04-02,143,5
273,25,40,2025-04-19,55,4
274,2,327,2024-03-13,104,5
275,213,221,2024-03-23,38,4
276,114,305,2025-04-21,160,5
277,142,175,2024-04-26,28,3
278,231,179,2024-09-30,134,4
279,126,55,2025-06-28,44,2
280,401,73,2024-10-22,89,5
281,534,241,2024-01-24,114,2
282,22,297,2024-03-05,144,2
283,335,76,2025-11-12,25,4
284,233,218,2024-10-22,90,5
285,293,38,2024-06-28,126,3
286,189,171,2025-12-25,139,5
287,547,28,2024-01-26,110,3
288,520,117,2025-12-23,126,2
289,116,222,2024-02-11,98,4
290,95,180,2025-09-14,138,5
291,90,294,2025-02-07,57,4
292,152,84,2025-03-13,127,5
293,90,53,2025-03-30,124,5
294,425,335,2024-05-27,19,4
295,425,236,2024-05-27,151,5
296,425,247,2024-05-27,87,3
297,391,342,2025-05-17,164,2
298,28,347,2024-06-06,106,2
299,504,71,2025-10-22,19,3
300,371,347,2025-08-02,38,4
301,18,111,2024-06-15,104,4
302,365,178,2025-06-26,53,5
303,365,346,2025-06-26,58,5
304,365,195,2025-06-26,138,4
305,148,201,2024-10-15,21,2
306,148,130,2024-10-15,54,5
307,148,335,2024-10-16,159,4
308,148,340,2024-10-16,86,5
309,492,350,2025-12-08,36,1
310,312,317,2024-08-15,96,2
311,312,195,2024-08-15,19,1
312,312,288,2024-08-15,74,5
313,526,39,2025-04-25,82,5
314,211,75,2024-07-23,32,4
315,357,47,2025-05-27,71,4
316,197,133,2024-06-24,160,4
317,190,176,2024-04-19,99,4
318,322,186,2025-06-16,80,2
319,322,84,2025-06-16,109,5
320,322,120,2025-06-16,124,1
321,72,315,2025-05-02,120,4
322,88,121,2025-02-14,95,2
323,88,176,2025-02-14,124,5
324,88,185,2025-02-14,56,5
325,365,28,2025-09-09,85,3
326,510,15,2024-01-31,92,4
327,510,34,2024-01-31,82,5
328,510,221,2024-01-31,129,3
329,510,220,2024-01-31,113,5
330,19,273,2024-05-01,74,3
331,19,231,2024-05-01,25,3
332,19,273,2024-05-02,51,5
333,482,253,2024-06-09,106,3
334,29,9,2024-05-11,36,2
335,439,134,2024-12-31,109,4
336,68,203,2024-04-27,124,4
337,432,95,2025-12-13,111,4
338,501,326,2024-07-29,108,4
339,501,213,2024-07-29,65,2
340,501,101,2024-07-29,108,5
341,501,134,2024-07-30,20,4
342,98,280,2024-10-06,79,3
343,310,130,2024-11-03,149,4
344,185,340,2025-10-04,49,5
345,445,340,2025-10-03,165,5
346,308,57,2025-02-24,122,2
347,294,97,2024-09-19,109,4
348,447,10,2024-02-07,32,4
349,181,45,2024-02-13,78,5
350,417,226,2025-11-18,84,3
351,513,165,2025-06-18,110,2
352,400,123,2024-08-29,43,4
353,58,310,2025-01-18,105,5
354,149,287,2025-01-11,57,5
355,56,306,2024-09-02,157,2
356,243,71,2025-02-01,100,2
357,165,250,2025-10-08,80,4
358,504,66,2025-02-26,103,4
359,361,33,2025-07-14,150,4
360,140,91,2025-10-05,161,5
361,140,96,2025-10-05,122,4
362,328,230,2024-05-16,80,4
363,187,163,2025-01-21,99,5
364,474,288,2025-12-19,81,5
365,175,340,2024-04-30,85,3
366,209,48,2024-09-29,53,3
367,290,28,2024-07-12,103,3
368,462,74,2025-12-01,158,4
369,218,57,2025-12-26,76,3
370,241,236,2024-12-28,57,4
371,43,224,2024-09-23,81,3
372,544,313,2024-11-16,42,3
373,270,228,2024-09-27,63,5
374,451,167,2024-02-25,125,2
375,451,349,2024-02-25,160,3
376,469,186,2024-05-31,62,4
377,280,25,2025-11-10,26,1
378,79,84,2025-05-25,22,3
379,109,310,2024-03-24,104,4
380,6,226,2024-02-14,51,1
381,50,205,2024-02-26,92,2
382,409,81,2024-06-15,125,5
383,409,103,2024-06-15,117,3
384,502,136,2025-02-01,66,4
385,191,125,2025-03-12,157,5
386,508,22,2025-10-24,34,2
387,131,258,2024-11-03,75,4
388,523,255,2024-04-06,144,2
389,516,266,2025-11-08,123,4
390,516,344,2025-11-09,155,4
391,516,201,2025-11-09,26,1
392,516,350,2025-11-09,21,3
393,19,265,2024-01-14,165,4
394,19,240,2024-01-14,158,5
395,19,65,2024-01-14,94,1
396,17,81,2024-07-11,150,5
397,196,40,2024-05-31,159,4
398,196,20,2024-06-01,101,3
399,196,249,2024-06-01,83,5
400,196,281,2024-06-01,144,4
401,196,186,2024-06-01,132,4
402,196,319,2024-06-01,137,1
403,324,333,2025-10-25,37,4
404,447,270,2024-07-15,157,4
405,447,340,2024-07-16,61,5
406,447,313,2024-07-16,164,2
407,484,61,2024-06-14,92,3
408,504,14,2025-05-20,103,4
409,504,282,2025-05-20,17,4
410,504,23,2025-05-20,141,3
411,265,208,2024-12-29,158,4
412,107,83,2025-03-24,83,5
413,43,238,2024-06-20,160,4
414,519,336,2024-04-11,95,4
415,426,201,2024-01-07,80,2
416,425,248,2024-06-04,122,5
417,529,10,2025-01-05,19,1
418,323,17,2024-06-17,24,4
419,60,305,2025-12-31,165,3
420,353,148,2025-06-24,149,5
421,353,249,2025-06-24,108,2
422,353,273,2025-06-24,86,4
423,291,85,2025-06-07,139,4
424,248,14,2024-11-07,150,4
425,127,312,2025-04-04,66,5
426,127,328,2025-04-04,114,3
427,127,96,2025-04-04,164,3
428,336,293,2024-07-16,20,1
429,436,338,2025-05-02,136,5
430,271,213,2025-10-13,67,3
431,518,270,2025-04-13,128,4
432,518,243,2025-04-13,53,5
433,518,238,2025-04-13,136,3
434,518,166,2025-04-13,73,5
435,146,127,2025-03-07,164,3
436,126,87,2024-03-10,113,5
437,487,178,2025-09-12,57,4
438,334,249,2025-11-11,155,5
439,334,61,2025-11-11,73,4
440,334,317,2025-11-12,85,3
441,334,303,2025-11-12,51,4
442,488,77,2024-01-20,96,2
443,455,319,2025-09-13,36,4
444,455,228,2025-09-13,84,5
445,455,214,2025-09-13,81,3
446,455,193,2025-09-13,111,1
447,60,203,2024-04-11,85,2
448,246,290,2025-08-23,32,1
449,476,154,2024-03-08,32,3
450,104,245,2025-07-22,47,3
451,146,345,2024-06-21,70,4
452,297,220,2024-06-20,157,2
453,360,163,2024-08-05,81,4
454,126,174,2025-07-23,35,5
455,351,151,2025-12-25,146,3
456,137,319,2024-01-05,80,5
457,137,15,2024-01-05,155,4
458,137,273,2024-01-05,119,3
459,9,10,2024-07-16,160,4
460,9,177,2024-07-17,161,3
461,9,171,2024-07-17,160,3
462,215,323,2025-02-09,94,5
463,215,113,2025-02-09,165,2
464,215,339,2025-02-09,136,5
465,215,35,2025-02-09,148,3
466,465,212,2025-10-18,32,1
467,465,289,2025-10-18,75,5
468,465,206,2025-10-18,127,3
469,402,252,2024-03-24,27,2
470,319,6,2024-04-09,36,5
471,319,310,2024-04-09,68,2
472,319,165,2024-04-09,146,5
473,319,178,2024-04-09,80,5
474,35,316,2025-12-11,108,4
475,443,276,2024-02-27,122,2
476,443,4,2024-02-27,124,5
477,443,237,2024-02-27,65,1
478,443,164,2024-02-27,71,4
479,70,260,2024-07-17,149,4
480,249,155,2024-03-02,34,3
481,249,37,2024-03-02,147,4
482,378,329,2025-06-14,114,3
483,206,280,2024-07-25,129,4
484,340,47,2024-12-09,17,3
485,4,161,2025-12-10,112,5
486,385,166,2024-07-07,88,3
487,200,211,2025-01-03,103,5
488,348,336,2024-09-08,16,4
489,141,307,2024-04-23,117,5
490,540,73,2025-09-30,23,4
491,197,198,2025-12-12,148,4
492,549,208,2024-06-01,135,5
493,501,43,2024-03-24,152,5
494,384,221,2025-04-20,133,4
495,411,101,2025-08-20,40,3
496,436,153,2025-08-08,80,2
497,532,207,2025-08-20,125,4
498,510,182,2024-01-26,80,3
499,510,61,2024-01-26,99,2
500,510,14,2024-01-26,95,5
501,510,226,2024-01-26,69,3
502,510,34,2024-01-27,62,4
503,510,251,2024-01-26,114,5
504,414,219,2025-11-02,120,3
505,215,207,2025-06-12,94,2
506,428,74,2025-04-05,15,3
507,364,149,2025-03-11,72,3
508,364,74,2025-03-11,36,4
509,364,259,2025-03-12,120,1
510,364,146,2025-03-12,127,5
511,364,112,2025-03-12,92,1
512,364,289,2025-03-12,78,5
513,396,275,2024-08-26,71,3
514,421,321,2024-04-23,96,2
515,211,94,2025-12-27,161,5
516,283,350,2024-05-26,112,5
517,503,275,2025-08-12,161,5
518,401,263,2024-06-28,154,3
519,98,185,2024-02-14,107,3
520,69,247,2024-08-10,19,3
521,517,49,2025-04-06,151,5
522,473,202,2025-02-12,87,3
523,476,274,2024-03-10,105,5
524,175,328,2025-09-13,79,5
525,12,29,2024-06-06,97,4
526,49,314,2025-06-19,76,5
527,207,233,2025-01-18,36,5
528,65,212,2024-04-08,111,3
529,195,101,2025-07-08,92,1
530,324,180,2025-04-14,75,2
531,324,144,2025-04-14,83,5
532,324,330,2025-04-14,102,5
533,324,236,2025-04-14,64,5
534,341,43,2025-12-05,144,4
535,524,219,2024-08-26,100,5
536,250,130,2024-03-02,152,1
537,455,33,2024-12-02,41,5
538,296,271,2024-08-22,57,5
539,228,51,2024-11-25,94,2
540,145,133,2024-05-08,124,5
541,319,165,2024-07-21,127,5
542,207,112,2025-05-07,134,4
543,444,39,2025-05-08,34,3
544,157,125,2024-06-28,147,4
545,342,5,2024-07-19,162,4
546,342,292,2024-07-19,165,4
547,342,51,2024-07-19,22,3
548,167,226,2025-03-22,132,3
549,378,79,2025-10-28,116,5
550,29,331,2025-10-22,101,4
551,166,318,2025-10-21,94,5
552,166,233,2025-10-21,134,5
553,392,242,2025-02-25,165,3
554,408,250,2025-05-18,106,5
555,408,232,2025-05-18,95,4
556,515,113,2025-04-06,31,4
557,419,61,2025-10-01,85,3
558,351,3,2025-05-04,70,3
559,351,12,2025-05-05,70,2
560,533,269,2024-09-29,157,5
561,323,260,2025-01-04,82,1
562,412,227,2024-05-22,63,5
563,378,67,2025-12-03,67,3
564,369,276,2024-11-29,80,4
565,488,294,2025-12-17,136,5
566,517,247,2024-03-30,127,5
567,517,303,2024-03-30,91,5
568,517,22,2024-03-30,161,1
569,517,228,2024-03-31,105,2
570,517,277,2024-03-31,22,4
571,517,349,2024-03-31,36,4
572,67,288,2025-01-21,103,2
573,90,257,2025-08-29,110,5
574,90,3,2025-08-29,138,3
575,90,114,2025-08-29,66,5
576,130,312,2025-09-08,107,5
577,512,346,2024-05-30,17,3
578,317,332,2025-12-06,97,3
579,386,184,2024-06-05,92,5
580,386,225,2024-06-05,90,5
581,386,224,2024-06-05,114,5
582,401,194,2024-10-16,82,1
583,401,52,2024-10-16,34,3
584,401,78,2024-10-16,107,5
585,401,99,2024-10-17,116,5
586,105,126,2024-05-31,115,5
587,184,117,2024-04-30,101,1
588,247,251,2024-11-05,57,5
589,475,254,2025-10-27,84,2
590,501,311,2025-06-05,165,2
591,186,63,2025-10-22,138,3
592,21,278,2025-07-03,153,2
593,213,157,2024-04-30,110,2
594,132,61,2024-03-30,116,5
595,176,270,2025-11-04,57,4
596,144,142,2025-06-19,75,3
597,193,103,2024-05-17,79,4
598,193,181,2024-05-17,128,2
599,193,114,2024-05-17,138,3
600,193,185,2024-05-17,94,5
601,524,196,2025-03-05,147,2
602,277,70,2025-12-01,64,3
603,277,104,2025-12-01,118,5
604,228,302,2024-06-28,159,3
605,228,82,2024-06-28,76,3
606,399,143,2025-11-25,161,3
607,130,268,2025-08-04,58,3
608,469,221,2025-04-24,99,2
609,469,127,2025-04-24,69,1
610,469,161,2025-04-24,143,2
611,469,156,2025-04-25,71,5
612,469,155,2025-04-25,131,4
613,546,282,2025-02-19,124,5
614,354,121,2025-11-08,63,4
615,231,33,2025-01-10,91,4
616,116,109,2025-11-26,107,3
617,3,272,2024-08-10,17,4
618,500,47,2025-09-22,162,3
619,500,32,2025-09-23,80,4
620,158,167,2025-05-14,117,2
621,439,193,2025-07-03,87,2
622,445,103,2024-07-22,112,5
623,445,169,2024-07-22,155,5
624,445,349,2024-07-22,157,5
625,445,265,2024-07-22,164,5
626,399,1,2024-01-22,76,5
627,399,348,2024-01-22,131,3
628,498,165,2024-09-10,31,4
629,498,263,2024-09-10,83,5
630,498,129,2024-09-10,52,5
631,153,67,2024-05-15,72,4
632,94,64,2025-06-21,131,2
633,438,331,2024-11-07,101,3
634,49,173,2024-01-01,147,2
635,190,32,2025-05-18,140,5
636,134,102,2025-01-05,83,2
637,124,163,2024-07-16,162,4
638,124,149,2024-07-17,86,1
639,124,141,2024-07-17,69,5
640,124,171,2024-07-17,150,5
641,447,103,2025-06-20,142,2
642,447,128,2025-06-20,46,3
643,447,57,2025-06-20,135,2
644,400,339,2024-10-05,71,5
645,526,211,2025-12-25,85,1
646,47,103,2025-10-16,18,4
647,255,287,2024-04-28,160,5
648,271,272,2025-02-22,115,2
649,287,253,2024-01-17,150,5
650,212,335,2024-10-02,127,3
651,445,157,2025-05-05,27,3
652,185,336,2024-01-22,94,1
653,74,103,2025-04-10,15,3
654,387,29,2024-04-22,80,2
655,14,95,2024-01-10,95,2
656,455,33,2024-11-10,150,4
657,22,250,2024-04-15,98,1
658,438,193,2024-12-27,161,4
659,116,150,2024-04-22,112,1
660,87,224,2025-09-11,124,3
661,309,349,2024-10-20,103,5
662,79,124,2024-06-01,45,5
663,116,37,2024-10-12,37,3
664,435,161,2025-02-27,133,3
665,505,184,2025-01-28,116,1
666,18,260,2025-04-30,64,5
667,302,159,2025-07-18,22,4
668,147,83,2024-01-27,131,5
669,162,258,2024-05-24,24,4
670,162,78,2024-05-24,108,4
671,162,245,2024-05-24,71,3
672,160,244,2024-02-02,128,4
673,160,334,2024-02-02,124,5
674,160,65,2024-02-02,86,5
675,160,14,2024-02-02,165,5
676,80,259,2025-04-24,76,5
677,435,251,2024-04-21,100,3
678,110,345,2024-11-12,80,5
679,110,311,2024-11-12,76,3
680,110,24,2024-11-12,40,3
681,323,224,2024-12-30,47,2
682,154,312,2025-05-03,20,4
683,154,118,2025-05-03,88,5
684,154,334,2025-05-03,53,5
685,350,273,2025-01-03,148,3
686,350,175,2025-01-03,21,3
687,350,144,2025-01-04,66,5
688,90,77,2025-04-10,116,2
689,73,209,2025-04-16,22,4
690,500,78,2025-02-14,149,5
691,500,192,2025-02-14,103,5
692,500,17,2025-02-15,18,3
693,251,127,2025-07-28,121,4
694,229,271,2024-04-05,21,1
695,111,230,2025-03-19,46,3
696,488,148,2024-02-09,146,5
697,488,268,2024-02-09,130,3
698,488,16,2024-02-09,42,3
699,181,274,2024-10-07,97,5
700,181,41,2024-10-07,42,4
701,305,85,2024-12-23,158,4
702,11,175,2025-09-03,155,5
703,325,262,2024-05-31,70,5
704,325,301,2024-06-01,151,5
705,325,142,2024-06-01,41,5
706,171,291,2024-08-09,38,4
707,17,275,2024-11-10,115,5
708,437,263,2024-12-09,146,3
709,447,177,2025-11-06,69,2
710,90,233,2024-04-16,149,5
711,103,262,2025-05-30,128,4
712,118,209,2025-04-25,56,3
713,406,122,2024-08-17,65,5
714,406,24,2024-08-17,17,1
715,406,100,2024-08-17,67,5
716,326,205,2025-08-08,120,5
717,440,126,2025-02-03,160,4
718,440,295,2025-02-03,68,5
719,440,126,2025-02-03,81,1
720,440,295,2025-02-03,73,4
721,81,216,2024-01-26,98,3
722,549,75,2025-01-22,72,5
723,106,157,2024-04-19,116,5
724,106,83,2024-04-19,41,2
725,106,22,2024-04-19,118,4
726,462,269,2024-01-11,113,5
727,496,141,2025-09-06,147,1
728,24,118,2024-06-05,98,2
729,130,211,2025-05-08,46,4
730,410,208,2024-09-13,145,3
731,211,208,2025-05-14,83,4
732,440,13,2024-12-27,74,5
733,260,77,2024-10-27,93,4
734,75,44,2025-01-15,71,3
735,219,214,2024-11-25,97,2
736,285,281,2025-11-18,35,4
737,203,196,2025-05-20,91,3
738,393,24,2024-01-22,86,5
739,413,51,2025-06-24,123,5
740,413,216,2025-06-24,110,4
741,413,190,2025-06-24,46,5
742,413,47,2025-06-24,149,1
743,230,288,2024-05-22,94,3
744,230,328,2024-05-22,18,1
745,45,246,2024-03-17,159,3
746,45,245,2024-03-17,88,5
747,45,292,2024-03-17,85,3
748,247,341,2025-11-08,103,5
749,85,302,2024-09-05,155,3
750,395,297,2024-04-17,63,5
751,465,268,2025-05-31,54,4
752,410,83,2024-10-11,83,5
753,247,297,2024-07-10,85,5
754,247,196,2024-07-10,134,4
755,247,209,2024-07-10,76,5
756,433,333,2024-07-12,157,2
757,255,60,2024-02-24,98,5
758,415,183,2024-04-13,96,2
759,295,345,2024-10-21,164,3
760,245,307,2025-11-28,57,4
761,343,3,2024-03-19,130,3
762,343,104,2024-03-19,72,4
763,343,313,2024-03-19,91,4
764,97,197,2024-12-09,116,4
765,97,190,2024-12-10,136,4
766,97,348,2024-12-10,157,3
767,97,117,2024-12-10,57,5
768,366,70,2024-09-07,39,5
769,281,235,2025-04-05,145,2
770,283,288,2024-02-12,114,3
771,9,338,2025-12-02,155,3
772,499,214,2024-10-28,76,4
773,6,179,2025-11-07,134,5
774,159,128,2025-12-31,80,2
775,33,256,2024-12-29,82,5
776,310,103,2024-06-26,31,1
777,205,307,2024-03-28,125,1
778,540,218,2024-11-16,44,1
779,28,190,2025-03-07,135,4
780,301,312,2024-05-08,77,3
781,301,47,2024-05-08,107,3
782,301,42,2024-05-09,58,4
783,55,349,2025-06-12,156,5
784,159,293,2024-11-14,70,3
785,124,254,2024-04-16,85,2
786,496,254,2024-08-28,85,4
787,23,115,2025-11-04,107,5
788,505,233,2025-01-30,128,2
789,399,235,2024-02-04,162,2
790,399,112,2024-02-04,134,3
791,399,253,2024-02-05,153,1
792,348,87,2024-05-23,152,3
793,484,242,2024-07-03,121,2
794,31,349,2024-06-11,111,5
795,243,172,2025-01-28,165,2
796,243,168,2025-01-29,26,1
797,461,300,2025-10-14,95,5
798,445,83,2024-07-15,87,5
799,369,296,2025-08-04,137,4
800,213,103,2025-04-30,124,5
801,73,104,2024-05-10,112,1
802,297,301,2024-09-14,106,2
803,248,109,2025-09-17,103,5
804,34,52,2024-09-24,163,2
805,64,196,2024-03-15,80,4
806,491,270,2024-10-04,125,4
807,234,273,2024-01-27,72,4
808,234,236,2024-01-27,159,4
809,142,196,2025-09-22,99,2
810,142,196,2025-09-22,66,5
811,142,1,2025-09-23,77,2
812,130,145,2024-10-16,120,4
813,126,217,2024-03-19,29,3
814,310,270,2025-07-18,159,4
815,107,76,2025-12-23,29,2
816,107,23,2025-12-24,88,1
817,107,209,2025-12-24,22,1
818,107,180,2025-12-24,108,4
819,107,141,2025-12-24,133,1
820,107,139,2025-12-24,118,3
