user_id,genre_rank,genre,sessions,total_watch_minutes,avg_rating
57,2,Romance,6,676,4.17
57,3,Sci-Fi,7,647,4.43
58,1,Documentary,9,818,3.56
58,2,Crime,8,579,3.38
58,3,Sci-Fi,5,517,4.0
59,1,Thriller,9,772,3.11
59,2,Comedy,8,684,3.5
59,3,Documentary,5,417,4.0
60,1,Drama,14,1406,2.79
60,2,Comedy,7,757,2.71
60,3,Sci-Fi,2,196,5.0
61,1,Comedy,9,852,3.78
61,2,Romance,5,361,3.8
61,3,Documentary,3,283,4.67
62,1,Animation,10,1080,4.0
62,2,Sci-Fi,7,937,3.71
62,3,Documentary,4,597,4.75
63,1,Drama,10,773,3.4
63,2,Animation,3,336,2.33
63,3,Thriller,3,332,2.0
64,1,Romance,6,598,4.0
64,2,Documentary,6,536,3.67
64,3,Horror,5,534,4.2
65,1,Crime,12,1526,4.17
65,2,Sci-Fi,8,690,3.75
65,3,Animation,4,370,4.0
66,1,Thriller,13,1268,4.0
66,2,Sci-Fi,7,754,4.14
66,3,Comedy,6,575,4.0
67,1,Action,5,634,4.6
67,2,Animation,3,374,4.33
67,3,Romance,5,291,2.8
68,1,Comedy,9,919,3.11
68,2,Animation,6,714,3.5
68,3,Action,3,330,3.0
69,1,Thriller,6,633,3.17
69,2,Sci-Fi,5,492,3.8
69,3,Drama,2,238,1.5
70,1,Sci-Fi,7,704,4.57
70,2,Documentary,7,695,4.14
70,3,Crime,6,643,4.5
71,1,Comedy,10,1022,4.0
71,2,Animation,3,383,3.67
71,3,Drama,2,323,4.0
72,1,Action,8,864,3.63
72,2,Documentary,6,435,3.83
72,3,Animation,3,326,3.33
73,1,Action,8,712,3.88
73,2,Comedy,8,654,3.88
73,3,Thriller,6,618,4.83
74,1,Thriller,12,1193,3.58
74,2,Sci-Fi,7,699,3.86
74,3,Comedy,3,296,3.67
75,1,Sci-Fi,11,917,2.82
75,2,Horror,8,912,3.88
75,3,Crime,7,590,3.57
76,1,Comedy,13,1224,4.31
76,2,Drama,8,796,3.13
76,3,Action,2,291,2.5
77,1,Documentary,8,1140,3.88
77,2,Crime,5,520,4.8
77,3,Comedy,5,469,2.8
78,1,Documentary,7,567,3.71
78,2,Sci-Fi,4,384,4.25
78,3,Animation,2,246,2.0
79,1,Drama,17,1503,3.41
79,2,Action,12,1033,4.33
79,3,Sci-Fi,2,227,4.5
80,1,Sci-Fi,14,1252,3.79
80,2,Romance,7,757,3.57
80,3,Comedy,7,506,4.14
81,1,Animation,7,632,3.71
81,2,Thriller,5,632,3.8
81,3,Crime,5,488,4.0
82,1,Sci-Fi,8,807,4.25
82,2,Crime,8,618,4.25
82,3,Drama,3,325,3.0
83,1,Action,8,739,3.0
83,2,Thriller,5,446,3.6
83,3,Animation,3,303,3.33
84,1,Thriller,11,1115,3.82
84,2,Horror,8,740,3.25
84,3,Animation,3,405,3.33
85,1,Thriller,7,642,3.71
85,2,Action,4,465,4.25
85,3,Comedy,3,394,4.0
86,1,Horror,5,559,4.0
86,2,Action,8,534,3.88
86,3,Sci-Fi,4,336,4.25
87,1,Documentary,10,949,3.1
87,2,Comedy,8,621,3.5
87,3,Action,5,583,3.6
88,1,Horror,12,1189,3.75
88,2,Romance,11,965,4.0
88,3,Animation,6,591,3.83
89,1,Horror,5,665,4.2
89,2,Sci-Fi,3,400,2.33
89,3,Comedy,4,353,3.5
90,1,Action,16,1409,3.25
90,2,Drama,9,985,4.33
90,3,Sci-Fi,6,827,3.5
91,1,Documentary,18,1827,3.44
91,2,Sci-Fi,11,1201,3.91
91,3,Animation,6,716,4.0
92,1,Horror,13,1124,3.69
92,2,Documentary,10,953,3.5
92,3,Sci-Fi,3,351,4.0
93,1,Animation,8,868,4.0
93,2,Thriller,6,511,3.83
93,3,Sci-Fi,4,258,2.25
94,1,Documentary,22,2018,3.73
94,2,Romance,9,962,4.22
94,3,Horror,7,740,3.43
95,1,Documentary,8,751,4.13
95,2,Thriller,4,487,4.25
95,3,Romance,2,259,3.5
96,1,Documentary,9,978,3.78
96,2,Horror,5,460,4.6
96,3,Action,5,349,2.8
97,1,Thriller,4,572,3.5
97,2,Animation,7,569,3.29
97,3,Documentary,6,429,3.5
98,1,Sci-Fi,6,663,3.67
98,2,Action,6,408,4.0
98,3,Comedy,4,360,2.25
99,1,Documentary,12,933,4.17
99,2,Romance,3,304,4.0
99,3,Thriller,3,280,4.0
100,1,Animation,16,1431,4.31
100,2,Thriller,8,653,3.5
100,3,Crime,7,642,4.14
101,1,Crime,8,420,3.5
101,2,Horror,2,258,3.5
101,3,Drama,2,160,4.0
102,1,Romance,13,1265,3.31
102,2,Horror,7,951,4.0
102,3,Action,5,487,4.4
103,1,Comedy,13,1271,3.85
103,2,Sci-Fi,6,531,4.33
103,3,Animation,2,246,1.5
104,1,Thriller,7,686,3.57
104,2,Action,6,599,3.83
104,3,Romance,4,380,4.25
105,1,Thriller,10,965,4.6
105,2,Action,5,448,3.8
105,3,Sci-Fi,3,411,4.67
106,1,Sci-Fi,32,2981,3.63
106,2,Comedy,18,2062,4.0
106,3,Horror,10,1006,3.0
107,1,Horror,15,1644,3.87
107,2,Sci-Fi,12,1373,3.17
107,3,Animation,15,1225,3.4
108,1,Crime,11,1237,3.64
108,2,Animation,4,494,3.5
108,3,Sci-Fi,3,327,5.0
109,1,Documentary,16,1521,3.81
109,2,Drama,13,1198,4.23
109,3,Crime,10,1056,3.8
110,1,Crime,8,765,4.13
110,2,Comedy,5,537,4.0
110,3,Animation,2,182,5.0
111,1,Romance,18,1800,4.17
111,2,Documentary,11,886,4.0
111,3,Thriller,5,533,2.6
112,1,Animation,5,612,3.6
112,2,Drama,3,252,2.33
112,3,Sci-Fi,3,238,4.33
113,1,Sci-Fi,4,365,3.0
113,2,Action,3,288,2.67
113,3,Horror,1,165,3.0
114,1,Comedy,6,603,4.67
114,2,Drama,4,524,3.25
114,3,Action,4,471,3.75
115,1,Romance,11,1128,3.82
115,2,Animation,9,916,3.56
115,3,Horror,3,294,1.67
116,1,Documentary,9,792,3.78
116,2,Horror,6,719,3.0
116,3,Comedy,4,447,2.25
117,1,Horror,18,1726,3.44
117,2,Crime,8,849,3.75
117,3,Thriller,4,398,4.0
118,1,Documentary,9,1116,3.44
118,2,Drama,6,706,3.67
118,3,Horror,2,232,4.5
119,1,Comedy,11,1136,4.09
119,2,Action,2,275,4.0
119,3,Sci-Fi,3,145,3.0
120,1,Comedy,6,685,3.5
120,2,Thriller,6,621,3.17
120,3,Animation,6,590,3.17
121,1,Documentary,8,874,4.0
121,2,Action,5,528,2.6
121,3,Animation,4,394,3.5
122,1,Horror,13,1561,3.85
122,2,Romance,5,520,4.2
122,3,Animation,5,469,3.4
123,1,Documentary,11,1117,3.91
123,2,Comedy,4,475,4.75
123,3,Horror,3,391,4.33
124,1,Horror,23,2342,3.74
124,2,Animation,15,1486,3.67
124,3,Documentary,8,1030,4.0
125,1,Action,8,747,3.38
125,2,Comedy,6,670,3.0
125,3,Drama,3,323,4.67
126,1,Comedy,8,817,4.0
126,2,Drama,4,420,3.5
126,3,Crime,1,152,2.0
127,1,Comedy,16,1657,3.69
127,2,Romance,9,915,3.56
127,3,Thriller,7,846,3.71
128,1,Crime,8,638,3.25
128,2,Thriller,6,615,3.5
128,3,Animation,3,314,4.33
129,1,Documentary,5,444,3.4
129,2,Crime,3,329,3.33
129,3,Thriller,2,222,3.5
130,1,Horror,10,1104,3.7
130,2,Romance,6,601,3.83
130,3,Sci-Fi,5,600,4.2
131,1,Thriller,9,945,4.11
131,2,Sci-Fi,5,286,3.2
131,3,Crime,2,275,2.0
132,1,Drama,12,1244,3.5
132,2,Sci-Fi,6,822,4.0
132,3,Romance,5,431,3.0
133,1,Sci-Fi,8,859,3.63
133,2,Horror,6,771,4.33
133,3,Crime,3,404,4.33
134,1,Crime,10,1022,4.0
134,2,Drama,10,969,3.4
134,3,Romance,8,630,3.88
135,1,Action,15,1447,3.73
135,2,Comedy,7,660,3.71
135,3,Crime,5,505,4.2
136,1,Crime,6,586,4.67
136,2,Documentary,5,391,4.0
136,3,Comedy,3,362,2.33
137,1,Documentary,29,2643,3.55
137,2,Romance,13,1638,3.77
137,3,Horror,16,1441,3.81
138,1,Comedy,18,1968,4.17
138,2,Action,7,707,4.14
138,3,Horror,5,613,4.0
139,1,Crime,14,1726,4.43
139,2,Documentary,7,797,3.57
139,3,Thriller,2,282,2.5
140,1,Sci-Fi,5,553,4.4
140,2,Comedy,6,461,4.17
140,3,Animation,3,306,4.33
141,1,Documentary,11,1341,4.09
141,2,Animation,9,905,3.56
141,3,Horror,1,58,4.0
142,1,Animation,15,1343,3.8
142,2,Thriller,11,998,3.91
142,3,Action,7,696,4.0
143,1,Animation,6,637,4.67
143,2,Thriller,3,377,4.0
143,3,Comedy,5,324,3.8
144,1,Documentary,20,2001,3.75
144,2,Comedy,13,1380,3.23
144,3,Romance,12,1053,3.42
145,1,Action,13,1304,4.08
145,2,Thriller,7,693,3.86
145,3,Comedy,8,570,4.38
146,1,Documentary,10,1031,3.4
146,2,Sci-Fi,5,528,3.6
146,3,Crime,4,484,2.0
147,1,Sci-Fi,9,1031,4.33
147,2,Animation,7,615,3.43
147,3,Thriller,4,459,3.25
148,1,Sci-Fi,7,702,4.29
148,2,Thriller,7,474,3.71
148,3,Crime,2,245,2.5
149,1,Crime,7,648,4.14
149,2,Thriller,8,564,3.88
149,3,Animation,4,405,4.25
150,1,Horror,10,1019,4.2
150,2,Action,4,554,4.25
150,3,Thriller,5,437,4.4
151,1,Thriller,12,1004,3.67
151,2,Documentary,11,920,3.64
151,3,Horror,6,567,2.17
152,1,Drama,6,741,4.5
152,2,Animation,6,586,4.17
152,3,Romance,1,159,1.0
153,1,Drama,8,883,3.63
153,2,Thriller,5,577,3.8
153,3,Horror,6,576,3.83
154,1,Romance,10,1036,4.6
154,2,Sci-Fi,7,693,3.43
154,3,Horror,4,346,3.75
155,1,Sci-Fi,6,802,3.83
155,2,Horror,4,438,4.75
155,3,Animation,3,295,3.0
156,1,Horror,17,1682,4.06
156,2,Animation,11,1070,3.55
156,3,Thriller,2,277,5.0
157,1,Drama,8,958,4.25
157,2,Comedy,8,902,4.13
157,3,Documentary,1,139,1.0
158,1,Action,9,1015,4.78
158,2,Comedy,6,583,3.33
158,3,Animation,4,554,3.75
159,1,Romance,12,1175,3.67
159,2,Crime,7,446,3.29
159,3,Action,3,292,2.33
160,1,Thriller,10,1149,3.7
160,2,Horror,5,501,3.8
160,3,Romance,1,124,5.0
161,1,Crime,9,611,3.44
161,2,Animation,4,238,3.0
161,3,Comedy,3,235,2.67
162,1,Comedy,7,700,4.0
162,2,Animation,5,192,3.6
162,3,Action,2,182,3.5
163,1,Crime,7,835,4.0
163,2,Drama,3,304,4.67
163,3,Documentary,4,298,2.0
164,1,Crime,5,640,3.2
164,2,Horror,5,621,4.2
164,3,Romance,6,561,3.67
165,1,Comedy,9,920,3.33
165,2,Sci-Fi,5,484,2.8
165,3,Action,2,209,3.0
166,1,Action,7,751,3.43
166,2,Drama,6,697,4.33
166,3,Horror,3,227,3.67
167,1,Documentary,8,767,4.38
167,2,Action,6,703,4.0
167,3,Comedy,7,655,3.29
168,1,Horror,3,310,4.0
168,2,Sci-Fi,1,143,2.0
168,3,Comedy,3,142,3.67
169,1,Romance,25,2530,3.64
169,2,Sci-Fi,17,1525,3.18
169,3,Documentary,16,1505,3.38
170,1,Thriller,14,1485,3.86
170,2,Animation,5,512,4.6
170,3,Romance,4,463,3.0
171,1,Romance,16,1525,4.13
171,2,Drama,7,791,4.29
171,3,Crime,3,225,2.0
172,1,Crime,9,1068,3.56
172,2,Thriller,8,756,3.38
172,3,Action,7,593,4.14
173,1,Action,5,648,4.6
173,2,Crime,3,398,3.0
173,3,Documentary,5,381,4.0
174,1,Animation,14,1544,3.93
174,2,Action,5,471,3.4
174,3,Comedy,2,200,3.5
175,1,Thriller,7,785,4.0
175,2,Drama,7,649,4.14
175,3,Animation,2,286,2.5
176,1,Action,10,786,3.9
176,2,Thriller,8,731,4.38
176,3,Crime,5,372,4.2
177,1,Documentary,9,883,4.11
177,2,Romance,8,823,4.0
177,3,Thriller,4,435,3.75
178,1,Sci-Fi,12,999,3.5
178,2,Romance,10,946,3.4
178,3,Horror,7,758,3.29
179,1,Thriller,6,569,4.17
179,2,Action,6,491,4.33
179,3,Sci-Fi,4,346,4.0
180,1,Horror,5,534,3.8
180,2,Sci-Fi,5,531,3.8
180,3,Comedy,3,291,4.0
181,1,Sci-Fi,9,961,3.11
181,2,Comedy,9,893,4.44
181,3,Action,5,469,3.4
182,1,Documentary,20,2116,3.7
182,2,Horror,6,566,4.0
182,3,Sci-Fi,4,398,2.25
183,1,Documentary,12,1126,3.67
183,2,Drama,9,660,3.78
183,3,Comedy,3,357,3.33
184,1,Horror,5,672,3.6
184,2,Comedy,4,468,4.0
184,3,Animation,2,229,3.0
185,1,Crime,10,1171,4.1
185,2,Romance,6,563,4.33
185,3,Sci-Fi,5,321,4.0
186,1,Sci-Fi,16,1640,3.31
186,2,Romance,9,908,4.11
186,3,Horror,4,349,3.75
187,1,Action,13,1208,3.92
187,2,Documentary,3,383,3.33
187,3,Animation,5,311,4.4
188,1,Documentary,11,1044,3.45
188,2,Thriller,7,738,2.43
188,3,Crime,4,462,4.25
189,1,Animation,6,639,3.0
189,2,Documentary,3,322,4.67
189,3,Horror,3,294,4.33
190,1,Drama,11,1195,4.36
190,2,Animation,4,374,3.5
190,3,Crime,1,77,4.0
191,1,Drama,11,1134,4.09
191,2,Horror,9,940,3.67
191,3,Documentary,3,434,3.33
192,1,Thriller,10,1000,4.0
192,2,Crime,4,440,3.5
192,3,Horror,1,165,4.0
193,1,Drama,19,1886,3.74
193,2,Sci-Fi,11,963,4.0
193,3,Romance,9,771,3.67
194,1,Action,3,387,2.33
194,2,Animation,5,351,4.4
194,3,Comedy,3,319,3.33
195,1,Action,8,1024,3.75
195,2,Comedy,5,362,4.8
195,3,Documentary,3,275,4.0
196,1,Comedy,8,923,4.0
196,2,Documentary,6,824,2.83
196,3,Action,9,798,3.78
197,1,Sci-Fi,4,459,4.75
197,2,Thriller,3,401,4.0
197,3,Drama,2,238,4.0
198,1,Action,9,692,3.78
198,2,Sci-Fi,4,401,4.5
198,3,Comedy,2,171,3.0
199,1,Comedy,4,441,4.25
199,2,Drama,4,436,4.0
199,3,Animation,3,254,3.67
200,1,Romance,5,472,4.2
200,2,Animation,1,152,3.0
201,1,Thriller,23,2479,3.61
201,2,Romance,10,912,3.7
201,3,Horror,6,506,4.33
202,1,Drama,12,1259,4.33
202,2,Animation,8,599,3.88
202,3,Comedy,1,133,1.0
203,1,Comedy,10,1104,3.6
203,2,Sci-Fi,6,487,4.17
203,3,Crime,3,416,3.67
204,1,Horror,9,752,3.56
204,2,Comedy,7,623,3.86
204,3,Romance,5,485,3.8
205,1,Sci-Fi,8,991,4.25
205,2,Crime,4,558,4.25
205,3,Comedy,3,302,3.33
206,1,Comedy,9,978,3.56
206,2,Crime,4,415,2.25
206,3,Documentary,3,380,2.67
207,1,Action,10,969,3.9
207,2,Thriller,6,623,4.33
207,3,Comedy,2,225,1.5
208,1,Thriller,12,1301,3.5
208,2,Comedy,4,482,3.75
208,3,Animation,4,442,3.5
209,1,Crime,7,711,3.57
209,2,Thriller,4,428,3.5
209,3,Drama,5,419,3.2
210,1,Documentary,10,686,3.5
210,2,Romance,6,551,3.17
210,3,Horror,5,489,4.0
211,1,Thriller,8,671,3.38
211,2,Horror,5,647,4.0
211,3,Sci-Fi,6,481,4.17
212,1,Romance,18,1721,3.83
212,2,Comedy,16,1410,3.94
212,3,Crime,6,636,4.33
213,1,Comedy,8,567,2.38
213,2,Thriller,4,564,4.25
213,3,Sci-Fi,5,447,3.8
214,1,Sci-Fi,9,795,3.78
214,2,Animation,7,740,3.86
214,3,Documentary,8,651,4.25
215,1,Romance,7,937,3.71
215,2,Thriller,8,797,4.5
215,3,Action,5,595,3.6
216,1,Comedy,9,852,4.22
216,2,Romance,7,706,4.14
216,3,Action,4,406,4.25
217,1,Drama,10,906,3.8
217,2,Action,7,709,3.14
217,3,Romance,6,565,3.67
218,1,Crime,11,1177,3.91
218,2,Romance,6,577,3.67
218,3,Animation,2,284,3.5
219,1,Sci-Fi,8,634,3.25
219,2,Drama,6,526,4.0
219,3,Action,3,278,4.0
220,1,Romance,12,1107,4.17
220,2,Sci-Fi,6,600,3.33
220,3,Horror,6,595,3.5
221,1,Comedy,17,2026,4.24
221,2,Romance,11,943,3.36
221,3,Animation,3,392,2.67
222,1,Comedy,9,953,3.44
222,2,Animation,6,717,4.5
222,3,Drama,6,461,4.67
223,1,Documentary,19,1713,4.0
223,2,Animation,11,1113,3.73
223,3,Thriller,7,402,4.0
224,1,Animation,7,806,4.29
224,2,Sci-Fi,8,599,3.5
224,3,Documentary,4,336,4.75
225,1,Crime,10,1054,4.0
225,2,Thriller,9,855,3.78
225,3,Drama,2,212,4.0
226,1,Comedy,4,373,3.5
226,2,Action,3,248,3.0
226,3,Crime,2,199,2.5
227,1,Drama,6,680,3.5
227,2,Action,7,511,4.29
227,3,Comedy,5,511,3.0
228,1,Drama,23,2228,3.78
228,2,Animation,11,976,4.55
228,3,Sci-Fi,9,750,3.33
229,1,Action,20,1888,4.05
229,2,Crime,13,1222,3.92
229,3,Sci-Fi,7,733,3.57
230,1,Comedy,9,1080,4.22
230,2,Animation,8,792,3.75
230,3,Sci-Fi,8,679,2.75
231,1,Crime,14,1501,4.43
231,2,Animation,6,546,2.83
231,3,Thriller,5,500,4.0
232,1,Comedy,8,885,3.63
232,2,Action,7,604,4.43
232,3,Animation,3,322,4.0
233,1,Crime,6,627,4.17
233,2,Romance,5,594,4.4
233,3,Comedy,6,583,3.5
234,1,Thriller,6,563,4.5
234,2,Documentary,3,313,3.0
234,3,Crime,3,282,4.67
235,1,Comedy,9,706,3.89
235,2,Sci-Fi,4,482,3.75
235,3,Drama,2,265,3.0
236,1,Romance,13,1077,3.85
236,2,Sci-Fi,9,994,4.11
236,3,Drama,5,405,2.8
237,1,Sci-Fi,10,915,3.9
237,2,Romance,8,852,2.63
237,3,Comedy,8,763,3.63
238,1,Comedy,8,680,3.88
238,2,Horror,4,330,4.75
238,3,Drama,5,297,3.0
239,1,Action,9,935,4.0
239,2,Thriller,7,907,4.14
239,3,Comedy,3,303,3.67
240,1,Thriller,8,834,3.38
240,2,Drama,5,517,4.2
240,3,Action,2,227,3.0
241,1,Horror,12,1173,3.83
241,2,Thriller,11,779,3.45
241,3,Documentary,5,530,2.8
242,1,Crime,7,696,3.71
242,2,Action,7,687,3.86
242,3,Animation,4,476,4.75
243,1,Thriller,9,991,3.78
243,2,Animation,5,618,3.6
243,3,Documentary,6,590,3.33
244,1,Action,8,827,3.63
244,2,Comedy,8,733,3.13
244,3,Drama,3,315,4.0
245,1,Documentary,5,490,4.2
245,2,Horror,2,311,2.0
245,3,Action,3,267,2.33
246,1,Crime,6,741,4.33
246,2,Comedy,7,628,3.29
246,3,Action,5,431,4.0
247,1,Animation,10,1082,4.5
247,2,Comedy,8,761,4.0
247,3,Horror,7,476,3.86
248,1,Horror,7,708,3.57
248,2,Crime,4,535,3.75
248,3,Sci-Fi,2,283,3.5
249,1,Drama,7,676,3.86
249,2,Horror,7,603,3.57
249,3,Thriller,9,601,3.78
250,1,Documentary,9,838,4.22
250,2,Thriller,7,750,3.0
250,3,Horror,3,382,2.33
251,1,Comedy,6,517,3.83
251,2,Action,2,230,3.0
251,3,Sci-Fi,2,217,2.0
252,1,Crime,8,910,4.0
252,2,Drama,5,447,3.6
252,3,Animation,4,250,4.25
253,1,Drama,9,784,4.11
253,2,Romance,8,722,4.75
253,3,Horror,4,321,2.0
254,1,Horror,8,927,3.88
254,2,Documentary,6,698,4.83
254,3,Sci-Fi,2,194,3.5
255,1,Thriller,17,1745,4.47
255,2,Animation,14,1476,4.0
255,3,Drama,9,1030,4.33
256,1,Crime,7,840,4.29
256,2,Sci-Fi,6,548,4.0
256,3,Romance,3,386,4.0
257,1,Documentary,7,828,4.29
257,2,Romance,8,806,3.38
257,3,Sci-Fi,6,475,3.67
258,1,Documentary,10,1226,4.2
258,2,Comedy,3,247,2.67
258,3,Drama,1,160,1.0
259,1,Comedy,7,725,4.29
259,2,Animation,6,694,4.33
259,3,Documentary,9,685,3.89
260,1,Thriller,5,520,4.0
260,2,Crime,5,427,4.0
260,3,Drama,4,339,2.75
261,1,Romance,18,1657,4.06
261,2,Crime,14,1450,3.79
261,3,Drama,7,855,3.14
262,1,Sci-Fi,13,1155,3.92
262,2,Drama,4,572,1.75
262,3,Comedy,5,517,4.8
263,1,Action,14,1130,4.43
263,2,Animation,6,521,3.67
263,3,Documentary,3,317,4.0
264,1,Comedy,10,1063,3.5
264,2,Crime,7,696,2.29
264,3,Horror,6,690,4.17
265,1,Drama,15,1772,3.67
265,2,Documentary,7,735,4.0
265,3,Romance,7,715,3.71
266,1,Action,10,826,3.9
266,2,Romance,5,483,4.8
266,3,Animation,6,407,4.0
267,1,Horror,7,665,3.86
267,2,Thriller,4,390,1.5
267,3,Documentary,3,342,4.0
268,1,Animation,9,623,3.22
268,2,Romance,5,541,4.0
268,3,Action,4,402,2.75
269,1,Thriller,7,672,3.57
269,2,Drama,5,609,3.8
269,3,Sci-Fi,5,446,3.8
270,1,Drama,12,963,3.42
270,2,Romance,8,958,4.25
270,3,Documentary,5,626,3.2
271,1,Drama,9,908,3.78
271,2,Animation,9,746,4.44
271,3,Documentary,6,511,4.5
272,1,Action,7,682,3.86
272,2,Sci-Fi,5,388,4.2
272,3,Comedy,4,288,2.5
273,1,Romance,10,973,3.5
273,2,Crime,6,549,4.0
273,3,Animation,4,478,4.25
274,1,Sci-Fi,8,914,3.75
274,2,Documentary,2,246,2.0
274,3,Horror,2,228,3.0
275,1,Thriller,9,967,3.89
275,2,Comedy,7,706,4.29
275,3,Drama,2,180,4.5
276,1,Drama,9,1077,3.67
276,2,Romance,8,906,4.5
276,3,Sci-Fi,4,393,4.5
